cliente_id,marca_id,año,mes,cluster_id,precio_total,cantidad,fecha_mes,marca_id_encoded
1019,40007152,2024,2,5,11.22,1.0,2024-02-01,93
1019,40007152,2024,3,5,37.985,9.0,2024-03-01,93
1019,40007152,2024,4,5,22.866,4.0,2024-04-01,93
1019,40007152,2024,5,5,10.31,1.0,2024-05-01,93
1019,40007152,2024,6,5,1.2,1.0,2024-06-01,93
1019,40007152,2024,8,5,38.572,5.0,2024-08-01,93
1019,40007167,2024,8,5,3.0,1.0,2024-08-01,96
1019,40007184,2024,1,5,155.00799999999998,8.0,2024-01-01,98
1019,40007184,2024,2,5,91.154,4.0,2024-02-01,98
1019,40007184,2024,3,5,13.803999999999998,2.0,2024-03-01,98
1019,40007184,2024,4,5,146.664,8.0,2024-04-01,98
1019,40007184,2024,5,5,114.618,9.0,2024-05-01,98
1019,40007184,2024,6,5,273.63699999999994,16.0,2024-06-01,98
1019,40007184,2024,7,5,362.73999999999995,23.0,2024-07-01,98
1019,40007184,2024,8,5,330.21099999999996,24.0,2024-08-01,98
1019,40007199,2024,4,5,2.625,1.0,2024-04-01,99
1019,40007212,2024,2,5,1.62,1.0,2024-02-01,100
1019,40007212,2024,3,5,9.66,3.0,2024-03-01,100
1019,40007271,2024,1,5,60.705000000000005,1.0,2024-01-01,109
1019,40007272,2024,7,5,28.305,1.0,2024-07-01,110
1019,40007342,2024,3,5,76.7,1.0,2024-03-01,118
1019,40007342,2024,4,5,254.15,1.0,2024-04-01,118
1019,40007342,2024,7,5,268.45,1.0,2024-07-01,118
1019,40007342,2024,8,5,106.6,2.0,2024-08-01,118
1019,40007395,2024,3,5,153.60000000000002,1.0,2024-03-01,268
1019,40007400,2024,5,5,164.88,1.0,2024-05-01,273
1019,40007404,2024,2,5,26.46,1.0,2024-02-01,276
1019,40007427,2024,2,5,6.951,1.0,2024-02-01,284
1019,40007427,2024,4,5,6.951,1.0,2024-04-01,133
1019,40007451,2024,1,5,28.611,6.0,2024-01-01,287
1019,40007451,2024,2,5,41.433249999999994,11.0,2024-02-01,138
1019,40007451,2024,3,5,13.5235,6.0,2024-03-01,138
1019,40007451,2024,4,5,48.195,2.0,2024-04-01,138
1019,40007451,2024,5,5,32.64,2.0,2024-05-01,138
1019,40007451,2024,6,5,15.63575,11.0,2024-06-01,138
1019,40007451,2024,8,5,57.84674999999999,12.0,2024-08-01,138
1019,40007478,2024,4,5,7.883249999999999,1.0,2024-04-01,142
1019,40007478,2024,6,5,7.883249999999999,1.0,2024-06-01,142
1019,40007494,2024,3,5,1.3965,1.0,2024-03-01,287
1019,40007494,2024,4,5,3.1324999999999994,1.0,2024-04-01,287
1019,40007494,2024,5,5,13.286,2.0,2024-05-01,287
1019,40007494,2024,7,5,50.616299999999995,6.0,2024-07-01,287
1019,40007494,2024,8,5,3.136,1.0,2024-08-01,287
1019,40007531,2024,4,5,0.52,1.0,2024-04-01,287
1019,40007531,2024,8,5,0.95,1.0,2024-08-01,287
1019,40007533,2024,1,5,78.867,51.0,2024-01-01,287
1019,40007533,2024,2,5,31.265,74.0,2024-02-01,287
1019,40007533,2024,3,5,75.166,127.0,2024-03-01,287
1019,40007533,2024,4,5,71.288,61.0,2024-04-01,287
1019,40007533,2024,5,5,80.1695,68.0,2024-05-01,287
1019,40007533,2024,6,5,81.402,70.0,2024-06-01,287
1019,40007533,2024,7,5,102.0475,31.0,2024-07-01,287
1019,40007533,2024,8,5,42.235,58.0,2024-08-01,287
1019,40007569,2024,5,5,13.975000000000001,2.0,2024-05-01,288
1019,40007569,2024,7,5,11.7975,1.0,2024-07-01,235
1019,40007578,2024,2,5,85.32,100.0,2024-02-01,288
1019,40007578,2024,6,5,57.96,100.0,2024-06-01,235
1019,40007578,2024,8,5,170.64,200.0,2024-08-01,165
1019,40007602,2024,2,5,33.0,4.0,2024-02-01,273
1019,40007604,2024,2,5,70.66799999999999,1.0,2024-02-01,277
1019,40007610,2024,7,5,29.203200000000002,3.0,2024-07-01,288
1019,40007621,2024,8,5,285.35,1.0,2024-08-01,288
1019,40007627,2024,8,5,2.121,1.0,2024-08-01,288
1019,40007638,2024,1,5,5.82,3.0,2024-01-01,288
1019,40007638,2024,3,5,1.42,2.0,2024-03-01,288
1019,40007638,2024,4,5,21.41,4.0,2024-04-01,288
1019,40007638,2024,5,5,11.5,11.0,2024-05-01,288
1019,40007641,2024,1,5,43.5625,5.0,2024-01-01,288
1019,40007641,2024,2,5,43.5625,5.0,2024-02-01,288
1019,40007641,2024,3,5,17.425,2.0,2024-03-01,288
1019,40007641,2024,4,5,17.425,2.0,2024-04-01,288
1019,40007641,2024,8,5,26.137500000000003,3.0,2024-08-01,288
1019,40007692,2024,1,5,99.96,2.0,2024-01-01,288
1025,40007494,2024,6,5,15.897,1.0,2024-06-01,146
1043,40000086,2024,7,0,13.966878000000001,8.0,2024-07-01,10
1043,40000346,2024,7,0,22.584,4.0,2024-07-01,23
1147,40000055,2024,9,5,9.1875,1.0,2024-09-01,5
1151,40000055,2024,3,5,7.9575,1.0,2024-03-01,5
1151,40000123,2024,3,5,37.855999999999995,3.0,2024-03-01,13
1151,40000138,2024,3,5,40.32,2.0,2024-03-01,15
1161,40000011,2024,1,5,53.9,1.0,2024-01-01,2
1161,40000011,2024,9,5,35.7,3.0,2024-09-01,2
1161,40000047,2024,9,5,74.592,18.0,2024-09-01,3
1161,40000055,2024,3,5,7.9725,11.0,2024-03-01,5
1161,40000055,2024,7,5,2.97,4.0,2024-07-01,5
1161,40000055,2024,9,5,38.73,4.0,2024-09-01,5
1161,40000085,2024,3,5,9.288,2.0,2024-03-01,9
1161,40000085,2024,7,5,7.205999999999999,1.0,2024-07-01,9
1161,40000085,2024,9,5,265.676,62.0,2024-09-01,9
1161,40000086,2024,5,5,2.955492,2.0,2024-05-01,10
1161,40000086,2024,7,5,5.623512,6.0,2024-07-01,10
1161,40000086,2024,9,5,43.103787,26.0,2024-09-01,10
1161,40000138,2024,3,5,960.4580000000001,22.0,2024-03-01,15
1161,40000138,2024,5,5,76.5,1.0,2024-05-01,15
1161,40000138,2024,7,5,76.3155,7.0,2024-07-01,15
1161,40000138,2024,9,5,57.53999999999999,4.0,2024-09-01,15
1161,40000154,2024,2,5,24.0739,21.0,2024-02-01,16
1161,40000154,2024,3,5,7.6392,2.0,2024-03-01,16
1161,40000154,2024,9,5,51.9851,39.0,2024-09-01,16
1161,40000184,2024,5,5,16.631999999999998,2.0,2024-05-01,19
1161,40000184,2024,6,5,16.631999999999998,2.0,2024-06-01,19
1161,40000184,2024,7,5,37.05,15.0,2024-07-01,19
1161,40000184,2024,8,5,16.631999999999998,2.0,2024-08-01,19
1161,40000184,2024,9,5,25.374000000000002,4.0,2024-09-01,19
1161,40000295,2024,9,5,31.616000000000003,1.0,2024-09-01,21
1161,40000346,2024,8,5,8.869,1.0,2024-08-01,23
1161,40000406,2024,9,5,2.31,30.0,2024-09-01,24
1161,40000438,2024,9,5,9.5625,5.0,2024-09-01,25
1161,40000453,2024,3,5,18.424,8.0,2024-03-01,26
1161,40000453,2024,9,5,2.688,1.0,2024-09-01,26
1161,40000530,2024,9,5,35.550000000000004,3.0,2024-09-01,28
1161,40000536,2024,1,5,2.5564,2.0,2024-01-01,29
1161,40000536,2024,3,5,12.950000000000001,50.0,2024-03-01,29
1161,40000536,2024,6,5,2.1063,2.0,2024-06-01,29
1161,40000536,2024,7,5,1.2782,1.0,2024-07-01,29
1161,40000536,2024,8,5,2.4339,2.0,2024-08-01,29
1161,40000536,2024,9,5,1.2782,1.0,2024-09-01,29
1161,40000616,2024,9,5,9.576,5.0,2024-09-01,37
1161,40000650,2024,2,5,260.38800000000003,50.0,2024-02-01,39
1161,40000650,2024,9,5,84.596,15.0,2024-09-01,39
1161,40000702,2024,7,5,13.245000000000001,4.0,2024-07-01,43
1161,40000702,2024,9,5,23.13,4.0,2024-09-01,43
1161,40000704,2024,2,5,84.6,4.0,2024-02-01,44
1161,40000704,2024,9,5,43.230000000000004,4.0,2024-09-01,44
1161,40000814,2024,8,5,0.1679999999999998,2.0,2024-08-01,51
1161,40000940,2024,9,5,10.72,2.0,2024-09-01,60
1161,40001145,2024,1,5,7.126,1.0,2024-01-01,74
1161,40001145,2024,2,5,122.88399999999999,2.0,2024-02-01,74
1161,40001145,2024,3,5,116.86500000000001,38.0,2024-03-01,74
1161,40001145,2024,5,5,7.126,1.0,2024-05-01,74
1161,40001145,2024,6,5,7.126,1.0,2024-06-01,74
1161,40001145,2024,7,5,91.988,16.0,2024-07-01,74
1161,40001145,2024,8,5,7.126,1.0,2024-08-01,74
1161,40001145,2024,9,5,79.6797,21.0,2024-09-01,74
1161,40007037,2024,3,5,281.25,1.0,2024-03-01,77
1161,40007045,2024,2,5,133.4,8.0,2024-02-01,78
1161,40007045,2024,9,5,8.08,1.0,2024-09-01,78
1161,40007067,2024,9,5,14.22,1.0,2024-09-01,80
1161,40007103,2024,7,5,19.63725,1.0,2024-07-01,85
1161,40007103,2024,9,5,11.57685,1.0,2024-09-01,85
1161,40007146,2024,3,5,35.93814,1.0,2024-03-01,91
1161,40007159,2024,1,5,112.524,1.0,2024-01-01,94
1161,40007167,2024,9,5,5.61,2.0,2024-09-01,96
1161,40007184,2024,3,5,72.856,8.0,2024-03-01,98
1161,40007184,2024,9,5,6.901999999999999,1.0,2024-09-01,98
1161,40007199,2024,9,5,2.625,1.0,2024-09-01,99
1161,40007212,2024,9,5,5.34,1.0,2024-09-01,100
1161,40007355,2024,3,5,135.0,7.0,2024-03-01,121
1161,40007400,2024,1,5,233.36628,1.0,2024-01-01,225
1161,40007400,2024,2,5,414.56856,2.0,2024-02-01,128
1161,40007400,2024,4,5,700.09884,3.0,2024-04-01,128
1161,40007400,2024,5,5,233.36628,1.0,2024-05-01,128
1161,40007404,2024,1,5,199.5,1.0,2024-01-01,129
1161,40007404,2024,4,5,160.5,1.0,2024-04-01,129
1161,40007444,2024,3,5,88.32000000000001,40.0,2024-03-01,136
1161,40007444,2024,9,5,15.179999999999998,10.0,2024-09-01,136
1161,40007451,2024,3,5,22.032,1.0,2024-03-01,287
1161,40007451,2024,7,5,26.775,1.0,2024-07-01,138
1161,40007451,2024,8,5,4.6537500000000005,2.0,2024-08-01,138
1161,40007451,2024,9,5,34.425,1.0,2024-09-01,138
1161,40007478,2024,3,5,15.766499999999999,2.0,2024-03-01,142
1161,40007478,2024,7,5,181.16625,6.0,2024-07-01,142
1161,40007478,2024,9,5,7.883249999999999,1.0,2024-09-01,142
1161,40007494,2024,3,5,184.45,17.0,2024-03-01,287
1161,40007494,2024,9,5,7.958999999999999,1.0,2024-09-01,287
1161,40007531,2024,9,5,0.51,2.0,2024-09-01,287
1161,40007533,2024,2,5,34.43,12.0,2024-02-01,287
1161,40007533,2024,9,5,16.989,35.0,2024-09-01,287
1161,40007578,2024,2,5,186.2388,40.0,2024-02-01,288
1161,40007578,2024,9,5,500.49999999999994,500.0,2024-09-01,235
1161,40007596,2024,4,5,179.4,1.0,2024-04-01,288
1161,40007596,2024,5,5,225.0,1.0,2024-05-01,288
1161,40007596,2024,6,5,404.4,2.0,2024-06-01,288
1161,40007599,2024,3,5,0.0,1.0,2024-03-01,288
1161,40007608,2024,9,5,660.0,2.0,2024-09-01,288
1161,40007638,2024,8,5,14.98,1.0,2024-08-01,288
1161,40007647,2024,1,5,104.0,1.0,2024-01-01,288
1161,40007647,2024,3,5,357.5,2.0,2024-03-01,288
1161,40007647,2024,5,5,208.0,2.0,2024-05-01,288
1161,40007647,2024,6,5,156.0,1.0,2024-06-01,288
1161,40007647,2024,7,5,208.0,2.0,2024-07-01,288
1161,40007647,2024,8,5,312.0,2.0,2024-08-01,288
1161,40007647,2024,9,5,260.0,2.0,2024-09-01,288
1161,40007657,2024,3,5,430.8,1.0,2024-03-01,288
1161,40007657,2024,4,5,430.8,1.0,2024-04-01,288
1161,40007657,2024,7,5,430.8,1.0,2024-07-01,288
1161,40007694,2024,2,5,115.5,1.0,2024-02-01,288
1169,40000154,2024,8,5,845.66005,935.0,2024-08-01,16
1169,40000321,2024,8,5,658.5039999999999,780.0,2024-08-01,22
1169,40000650,2024,8,5,1495.4,300.0,2024-08-01,39
1169,40000814,2024,8,5,0.902999999999997,30.0,2024-08-01,51
1169,40007167,2024,8,5,14.025,5.0,2024-08-01,96
1169,40007540,2024,8,5,65.65,4.0,2024-08-01,155
1177,40000086,2024,1,0,5.518731000000001,3.0,2024-01-01,10
1177,40000102,2024,7,0,2.6008,1.0,2024-07-01,11
1177,40000438,2024,4,0,11.924999999999999,10.0,2024-04-01,25
1177,40007167,2024,1,0,0.36,1.0,2024-01-01,96
1177,40007531,2024,4,0,0.255,1.0,2024-04-01,152
1177,40007533,2024,1,0,1.18,3.0,2024-01-01,153
1177,40007533,2024,4,0,2.6,6.0,2024-04-01,153
1177,40007533,2024,8,0,1.8399999999999999,5.0,2024-08-01,153
1177,40007641,2024,7,0,8.7125,1.0,2024-07-01,277
1193,40000055,2024,2,3,15.8025,4.0,2024-02-01,5
1193,40000055,2024,4,3,10.56,4.0,2024-04-01,5
1193,40000055,2024,5,3,31.0575,4.0,2024-05-01,5
1193,40000055,2024,6,3,3.0900000000000003,2.0,2024-06-01,5
1193,40000055,2024,7,3,3.33,2.0,2024-07-01,5
1193,40000055,2024,8,3,1.665,1.0,2024-08-01,5
1193,40000055,2024,9,3,11.0025,2.0,2024-09-01,5
1193,40000085,2024,1,3,23.946,3.0,2024-01-01,9
1193,40000085,2024,5,3,6.438000000000001,2.0,2024-05-01,9
1193,40000085,2024,6,3,29.016,15.0,2024-06-01,9
1193,40000085,2024,7,3,12.984,1.0,2024-07-01,9
1193,40000085,2024,8,3,7.656,1.0,2024-08-01,9
1193,40000086,2024,1,3,12.830876,14.0,2024-01-01,10
1193,40000086,2024,2,3,0.99375,2.0,2024-02-01,10
1193,40000086,2024,3,3,5.492496000000001,4.0,2024-03-01,10
1193,40000086,2024,4,3,13.169175,5.0,2024-04-01,10
1193,40000086,2024,6,3,6.303396,4.0,2024-06-01,10
1193,40000117,2024,1,3,81.13199999999999,1.0,2024-01-01,12
1193,40000123,2024,9,3,45.696,4.0,2024-09-01,13
1193,40000138,2024,1,3,199.77650000000003,6.0,2024-01-01,15
1193,40000138,2024,3,3,359.70000000000005,5.0,2024-03-01,15
1193,40000138,2024,5,3,51.13,2.0,2024-05-01,15
1193,40000138,2024,7,3,61.412,3.0,2024-07-01,15
1193,40000138,2024,8,3,140.475,2.0,2024-08-01,15
1193,40000154,2024,1,3,27.6269,25.0,2024-01-01,16
1193,40000154,2024,3,3,0.7165,3.0,2024-03-01,16
1193,40000184,2024,1,3,6.588,2.0,2024-01-01,19
1193,40000184,2024,2,3,2.94,1.0,2024-02-01,19
1193,40000184,2024,3,3,2.598,1.0,2024-03-01,19
1193,40000184,2024,6,3,5.88,2.0,2024-06-01,19
1193,40000346,2024,1,3,3.582,1.0,2024-01-01,23
1193,40000346,2024,3,3,7.164,2.0,2024-03-01,23
1193,40000346,2024,4,3,3.582,1.0,2024-04-01,23
1193,40000346,2024,6,3,6.492,1.0,2024-06-01,23
1193,40000530,2024,1,3,24.945,1.0,2024-01-01,28
1193,40000530,2024,2,3,20.535,1.0,2024-02-01,28
1193,40000536,2024,1,3,0.574,1.0,2024-01-01,29
1193,40000536,2024,2,3,45.2559,24.0,2024-02-01,29
1193,40000536,2024,3,3,5.18,20.0,2024-03-01,29
1193,40000536,2024,4,3,14.9037,42.0,2024-04-01,29
1193,40000536,2024,5,3,26.9544,4.0,2024-05-01,29
1193,40000536,2024,7,3,85.04719999999999,194.0,2024-07-01,29
1193,40000536,2024,8,3,1.8144,4.0,2024-08-01,29
1193,40000616,2024,1,3,2.16,1.0,2024-01-01,37
1193,40000616,2024,6,3,4.32,2.0,2024-06-01,37
1193,40000616,2024,8,3,47.202000000000005,26.0,2024-08-01,37
1193,40000650,2024,3,3,4.3296,1.0,2024-03-01,39
1193,40000702,2024,9,3,18.330000000000002,8.0,2024-09-01,43
1193,40000704,2024,1,3,48.63,5.0,2024-01-01,44
1193,40000704,2024,4,3,34.65,5.0,2024-04-01,44
1193,40000704,2024,5,3,28.679999999999996,2.0,2024-05-01,44
1193,40000704,2024,6,3,31.98,4.0,2024-06-01,44
1193,40000732,2024,7,3,6.475,1.0,2024-07-01,45
1193,40000814,2024,5,3,0.8119999999999999,1.0,2024-05-01,51
1193,40000958,2024,4,3,25.902,4.0,2024-04-01,61
1193,40001145,2024,1,3,20.1783,3.0,2024-01-01,74
