cluster_id,cliente_id
5,78994
5,78995
5,78996
5,78998
5,78999
5,79000
5,79001
5,79002
5,79003
5,79004
5,79007
5,79008
5,79013
5,79015
0,79017
5,79018
0,79019
5,79020
5,79022
2,79023
0,79024
5,79026
5,79028
5,79029
5,79030
1,79031
5,79033
5,79034
5,79037
5,79038
5,79040
4,79041
5,79043
5,79045
5,79046
5,79049
5,79050
5,79051
5,79052
5,79053
5,79055
5,79056
5,79058
5,79061
5,79064
5,79065
5,79066
5,79067
5,79068
5,79069
5,79071
5,79074
5,79078
5,79079
5,79080
5,79081
5,79083
5,79086
5,79087
5,79088
0,79090
5,79092
0,79093
5,79095
5,79097
5,79099
2,79101
5,79102
5,79104
5,79110
5,79113
3,79114
5,79115
5,79116
5,79117
5,79118
5,79120
5,79121
5,79123
0,79127
0,79129
5,79130
5,79131
5,79132
1,79133
5,79137
5,79139
5,79140
5,79141
5,79142
4,79145
5,79146
5,79147
5,79150
5,79151
0,79152
5,79153
5,79155
5,79156
5,79157
5,79159
0,79160
5,79163
0,79164
5,79166
5,79168
0,79170
5,79172
5,79173
5,79175
5,79176
5,79177
5,79178
5,79179
5,79180
5,79181
5,79182
5,79183
5,79184
5,79186
5,79187
4,79188
5,79189
0,79192
5,79193
5,79194
5,79198
5,79199
5,79200
5,79201
1,79202
5,79203
5,79204
4,79205
5,79206
5,79207
5,79208
5,79209
0,79210
0,79211
2,79217
0,79221
5,79225
5,79231
5,79236
3,79237
5,79238
5,79246
5,79253
5,79263
5,79266
5,79268
5,79278
5,79280
5,79284
5,79293
5,79295
5,79297
5,79303
5,79304
5,79306
0,79316
5,79321
5,79324
0,79325
0,79328
0,79331
5,79332
5,79340
5,79345
5,79346
5,79347
5,79352
5,79354
0,79355
5,79357
0,79361
5,79362
5,79374
5,79375
5,79377
3,79378
4,79379
5,79384
5,79392
5,79395
5,79400
5,79401
5,79402
5,79404
5,79410
5,79411
5,79416
5,79417
5,79418
4,79419
5,79426
1,79435
5,79437
5,79438
5,79442
5,79450
5,79451
5,79457
3,79462
5,79465
3,79466
5,79467
5,79477
0,79480
5,79481
1,79483
4,79486
5,79487
3,79488
5,79491
5,79492
3,79495
0,79497
5,79498
5,79500
5,79505
5,79506
5,79510
5,79514
5,79518
5,79527
0,79529
4,79531
5,79536
5,79543
5,79544
5,79545
5,79547
5,79549
5,79550
3,79551
5,79552
5,79553
5,79558
5,79559
5,79561
5,79562
5,79563
0,79565
5,79568
5,79576
0,79580
5,79585
5,79587
5,79589
0,79593
0,79594
5,79595
5,79598
5,79601
5,79604
5,79607
0,79609
5,79610
0,79614
5,79616
5,79621
5,79630
0,79631
5,79633
5,79634
5,79640
5,79644
5,79647
5,79648
5,79649
5,79653
5,79654
3,79655
0,79660
5,79662
5,79663
3,79667
5,79671
5,79673
3,79674
3,79686
0,79687
5,79689
5,79693
5,79694
5,79695
5,79697
5,79699
5,79701
5,79703
5,79720
5,79721
5,79726
5,79727
5,79729
5,79730
5,79735
5,79736
5,79740
4,79742
5,79743
5,79750
2,79754
5,79755
3,79757
5,79762
5,79763
3,79764
5,79766
4,79769
1,79772
0,79774
0,79775
5,79783
0,79786
5,79787
4,79789
5,79793
5,79797
5,79802
0,79803
0,79807
0,79812
5,79815
5,79818
4,79819
5,79821
3,79827
5,79828
5,79831
5,79835
5,79836
5,79839
0,79843
2,79844
5,79845
5,79851
1,79854
5,79856
0,79859
3,79863
5,79864
5,79873
5,79874
5,79877
5,79881
5,79888
5,79890
5,79898
3,79907
3,79908
3,79909
5,79912
4,79915
5,79916
5,79920
1,79921
0,79931
0,79932
0,79933
5,79934
5,79936
0,79940
5,79942
0,79945
5,79948
5,79951
0,79953
5,79956
5,79964
0,79965
5,79970
5,79979
5,79980
1,79981
5,79988
5,79991
5,80004
5,80005
5,80009
0,80018
1,80022
0,80024
5,80025
5,80026
4,80027
5,80028
4,80030
5,80033
5,80035
4,80036
0,80038
0,80039
0,80042
0,80044
0,80045
5,80046
0,80048
5,80053
4,80058
5,80060
5,80061
5,80063
5,80066
5,80067
5,80072
5,80075
5,80079
5,80082
5,80083
5,80085
5,80087
5,80093
0,80095
5,80100
0,80106
0,80108
5,80120
5,80123
5,80129
5,80130
5,80135
5,80137
5,80139
5,80141
5,80144
0,80147
0,80153
0,80156
5,80157
5,80162
0,80164
5,80171
5,80173
5,80176
5,80177
5,80179
0,80180
0,80183
5,80187
5,80188
5,80190
0,80192
5,80194
5,80197
5,80198
5,80201
1,80202
5,80205
5,80208
0,80210
5,80212
5,80219
5,80222
0,80225
5,80229
5,80230
0,80231
5,80240
5,80241
5,80243
5,80249
5,80250
5,80251
5,80252
5,80255
5,80257
5,80258
2,80259
5,80261
5,80271
5,80279
5,80284
5,80285
5,80287
5,80288
5,80290
0,80298
5,80300
0,80301
5,80302
3,80303
5,80305
5,80306
0,80307
3,80308
3,80310
0,80312
3,80315
3,80317
0,80318
5,80321
5,80327
5,80335
5,80336
5,80340
5,80343
5,80346
5,80347
5,80351
5,80355
5,80356
5,80359
0,80361
1,80363
5,80368
0,80375
0,80377
0,80379
1,80380
5,80388
3,80389
1,80390
0,80392
3,80393
3,80396
3,80401
4,80404
0,80405
0,80407
5,80408
5,80416
5,80417
0,80418
0,80419
5,80424
0,80429
5,80433
5,80434
5,80435
5,80436
3,80440
5,80441
5,80443
5,80445
0,80447
5,80451
5,80452
0,80453
0,80455
